URL,Player name,Season,Tournament / Team,№,GP,G,Assists,PTS,+/-,+,-,PIM,ESG,PPG,SHG,OTG,GWG,SDS,SOG,%SOG,S/G,FO,FOW,%FO,TOI/G,SFT/G,HITS,BLS,FOA
https://en.khl.ru/players/18770/,Konstantin Okulov,Playoffs 2020/2021,CSKA (Moscow),71.0,23.0,6.0,14.0,20.0,10.0,19.0,9.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,61.0,9.8,2.7,3.0,0.0,0.0,16:53,23.4,7.0,5.0,8.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2020/2021,CSKA (Moscow),71.0,55.0,18.0,31.0,49.0,14.0,43.0,29.0,6.0,12.0,6.0,0.0,1.0,6.0,1.0,129.0,14.0,2.3,9.0,2.0,22.2,15:59,19.9,5.0,13.0,13.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Playoffs 2019/2020,CSKA (Moscow),71.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.7,0.0,0.0,-,14:27,18.0,1.0,0.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2019/2020,CSKA (Moscow),71.0,56.0,17.0,21.0,38.0,14.0,35.0,21.0,22.0,13.0,4.0,0.0,2.0,4.0,0.0,140.0,12.1,2.5,39.0,19.0,48.7,14:48,18.6,8.0,21.0,7.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Playoffs 2018/2019,CSKA (Moscow),71.0,19.0,7.0,7.0,14.0,8.0,11.0,3.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,46.0,15.2,2.4,8.0,4.0,50.0,13:35,19.2,4.0,4.0,1.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2018/2019,CSKA (Moscow),71.0,48.0,20.0,11.0,31.0,21.0,30.0,9.0,8.0,18.0,2.0,0.0,0.0,7.0,0.0,109.0,18.3,2.3,41.0,18.0,43.9,14:04,17.8,5.0,13.0,6.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Playoffs 2017/2018,CSKA (Moscow),77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3,0.0,0.0,-,10:35,16.3,1.0,1.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2017/2018,CSKA (Moscow),77.0,35.0,6.0,13.0,19.0,14.0,19.0,5.0,14.0,6.0,0.0,0.0,0.0,2.0,0.0,63.0,9.5,1.8,81.0,42.0,51.9,13:20,18.3,8.0,11.0,6.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2016/2017,Sibir (Novosibirsk Region),17.0,59.0,17.0,11.0,28.0,7.0,31.0,24.0,6.0,15.0,2.0,0.0,0.0,5.0,2.0,147.0,11.6,2.5,480.0,238.0,49.6,16:30,21.2,4.0,26.0,14.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Playoffs 2015/2016,Sibir (Novosibirsk Region),17.0,9.0,2.0,2.0,4.0,5.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,1.1,38.0,9.0,23.7,10:05,15.3,4.0,8.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2015/2016,Sibir (Novosibirsk Region),17.0,39.0,1.0,5.0,6.0,0.0,9.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,49.0,2.0,1.3,129.0,43.0,33.3,9:46,14.3,11.0,14.0,5.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2014/2015,Sibir (Novosibirsk Region),17.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,0.5,3.0,1.0,33.3,2:49,4.5,0.0,1.0,0.0
https://en.khl.ru/players/18770/,Konstantin Okulov,Regular season 2013/2014,Sibir (Novosibirsk Region),17.0,5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,18.0,11.0,61.1,5:52,8.6,,,
